#    L    TT             EE             TE             PP             TP          
   281   0.456596E+04   0.581235E+01   0.103954E+03   0.160230E+07   0.123878E+04
   282   0.453601E+04   0.595806E+01   0.104906E+03   0.159553E+07   0.122806E+04
   283   0.450581E+04   0.610560E+01   0.105828E+03   0.158880E+07   0.121742E+04
   284   0.447536E+04   0.625494E+01   0.106720E+03   0.158212E+07   0.120685E+04
   285   0.444468E+04   0.640603E+01   0.107581E+03   0.157548E+07   0.119636E+04
   286   0.441377E+04   0.655886E+01   0.108413E+03   0.156888E+07   0.118595E+04
   287   0.438264E+04   0.671336E+01   0.109213E+03   0.156232E+07   0.117561E+04
   288   0.435132E+04   0.686953E+01   0.109981E+03   0.155581E+07   0.116535E+04
   289   0.431979E+04   0.702730E+01   0.110718E+03   0.154934E+07   0.115516E+04
   290   0.428808E+04   0.718666E+01   0.111422E+03   0.154291E+07   0.114504E+04
   291   0.425620E+04   0.734757E+01   0.112094E+03   0.153652E+07   0.113499E+04
   292   0.422415E+04   0.750990E+01   0.112733E+03   0.153018E+07   0.112501E+04
   293   0.419195E+04   0.767372E+01   0.113338E+03   0.152387E+07   0.111509E+04
   294   0.415960E+04   0.783897E+01   0.113910E+03   0.151760E+07   0.110525E+04
   295   0.412711E+04   0.800550E+01   0.114447E+03   0.151137E+07   0.109547E+04
   296   0.409449E+04   0.817337E+01   0.114950E+03   0.150518E+07   0.108576E+04
   297   0.406174E+04   0.834245E+01   0.115417E+03   0.149902E+07   0.107612E+04
   298   0.402888E+04   0.851273E+01   0.115849E+03   0.149291E+07   0.106654E+04
   299   0.399593E+04   0.868413E+01   0.116246E+03   0.148683E+07   0.105702E+04
   300   0.396288E+04   0.885660E+01   0.116608E+03   0.148078E+07   0.104756E+04
   301   0.392976E+04   0.903019E+01   0.116933E+03   0.147478E+07   0.103817E+04
   302   0.389657E+04   0.920469E+01   0.117223E+03   0.146881E+07   0.102883E+04
   303   0.386333E+04   0.938017E+01   0.117476E+03   0.146287E+07   0.101956E+04
   304   0.383004E+04   0.955658E+01   0.117694E+03   0.145697E+07   0.101035E+04
   305   0.379673E+04   0.973382E+01   0.117876E+03   0.145111E+07   0.100120E+04
   306   0.376339E+04   0.991192E+01   0.118021E+03   0.144528E+07   0.992114E+03
   307   0.373004E+04   0.100907E+02   0.118129E+03   0.143948E+07   0.983088E+03
   308   0.369670E+04   0.102702E+02   0.118201E+03   0.143372E+07   0.974123E+03
   309   0.366336E+04   0.104503E+02   0.118236E+03   0.142799E+07   0.965220E+03
   310   0.363003E+04   0.106310E+02   0.118235E+03   0.142230E+07   0.956379E+03
   311   0.359674E+04   0.108122E+02   0.118195E+03   0.141664E+07   0.947600E+03
   312   0.356348E+04   0.109938E+02   0.118119E+03   0.141101E+07   0.938883E+03
   313   0.353027E+04   0.111758E+02   0.118005E+03   0.140541E+07   0.930229E+03
   314   0.349712E+04   0.113581E+02   0.117855E+03   0.139985E+07   0.921636E+03
   315   0.346403E+04   0.115406E+02   0.117666E+03   0.139432E+07   0.913105E+03
   316   0.343102E+04   0.117234E+02   0.117441E+03   0.138883E+07   0.904637E+03
   317   0.339809E+04   0.119063E+02   0.117178E+03   0.138336E+07   0.896231E+03
   318   0.336527E+04   0.120892E+02   0.116879E+03   0.137793E+07   0.887887E+03
   319   0.333255E+04   0.122721E+02   0.116542E+03   0.137253E+07   0.879606E+03
   320   0.329994E+04   0.124550E+02   0.116168E+03   0.136716E+07   0.871388E+03
