#    L    TT             EE             TE             PP             TP          
   234   0.552380E+04   0.131091E+01   0.368220E+02   0.197962E+07   0.184818E+04
   235   0.551514E+04   0.135849E+01   0.384682E+02   0.197018E+07   0.183271E+04
   236   0.550588E+04   0.140801E+01   0.401155E+02   0.196082E+07   0.181736E+04
   237   0.549604E+04   0.145946E+01   0.417632E+02   0.195153E+07   0.180213E+04
   238   0.548562E+04   0.151287E+01   0.434105E+02   0.194231E+07   0.178703E+04
   239   0.547463E+04   0.156826E+01   0.450569E+02   0.193315E+07   0.177204E+04
   240   0.546306E+04   0.162566E+01   0.467014E+02   0.192407E+07   0.175718E+04
   241   0.545092E+04   0.168509E+01   0.483435E+02   0.191506E+07   0.174243E+04
   242   0.543822E+04   0.174655E+01   0.499823E+02   0.190611E+07   0.172780E+04
   243   0.542495E+04   0.181008E+01   0.516173E+02   0.189723E+07   0.171329E+04
   244   0.541113E+04   0.187568E+01   0.532476E+02   0.188841E+07   0.169889E+04
   245   0.539676E+04   0.194337E+01   0.548727E+02   0.187966E+07   0.168461E+04
   246   0.538185E+04   0.201315E+01   0.564918E+02   0.187097E+07   0.167044E+04
   247   0.536640E+04   0.208506E+01   0.581042E+02   0.186234E+07   0.165638E+04
   248   0.535043E+04   0.215910E+01   0.597091E+02   0.185378E+07   0.164244E+04
   249   0.533392E+04   0.223527E+01   0.613059E+02   0.184528E+07   0.162860E+04
   250   0.531690E+04   0.231360E+01   0.628939E+02   0.183684E+07   0.161488E+04
   251   0.529936E+04   0.239408E+01   0.644722E+02   0.182845E+07   0.160126E+04
   252   0.528130E+04   0.247672E+01   0.660401E+02   0.182013E+07   0.158775E+04
   253   0.526272E+04   0.256153E+01   0.675969E+02   0.181187E+07   0.157435E+04
   254   0.524364E+04   0.264853E+01   0.691417E+02   0.180366E+07   0.156106E+04
   255   0.522405E+04   0.273770E+01   0.706738E+02   0.179551E+07   0.154787E+04
   256   0.520395E+04   0.282906E+01   0.721924E+02   0.178742E+07   0.153478E+04
   257   0.518336E+04   0.292261E+01   0.736971E+02   0.177938E+07   0.152180E+04
   258   0.516228E+04   0.301835E+01   0.751867E+02   0.177140E+07   0.150892E+04
   259   0.514074E+04   0.311629E+01   0.766617E+02   0.176348E+07   0.149614E+04
   260   0.511874E+04   0.321642E+01   0.781200E+02   0.175561E+07   0.148346E+04
   261   0.509629E+04   0.331874E+01   0.795622E+02   0.174779E+07   0.147088E+04
   262   0.507341E+04   0.342326E+01   0.809870E+02   0.174003E+07   0.145839E+04
   263   0.505010E+04   0.352998E+01   0.823944E+02   0.173233E+07   0.144601E+04
   264   0.502638E+04   0.363888E+01   0.837829E+02   0.172468E+07   0.143372E+04
