#    L    TT             EE             BB             TE             PP             TP             EP          
   178   0.507020E+04   0.781296E+00   0.000000E+00  -0.351795E+02   0.573724E-07   0.174030E-03  -0.628843E-06
   179   0.509311E+04   0.771053E+00   0.000000E+00  -0.344754E+02   0.570455E-07   0.172508E-03  -0.619264E-06
   180   0.511559E+04   0.760945E+00   0.000000E+00  -0.337450E+02   0.567214E-07   0.171007E-03  -0.609069E-06
   181   0.513761E+04   0.751001E+00   0.000000E+00  -0.329883E+02   0.564002E-07   0.169525E-03  -0.598292E-06
   182   0.515918E+04   0.741249E+00   0.000000E+00  -0.322056E+02   0.560818E-07   0.168063E-03  -0.586966E-06
   183   0.518028E+04   0.731710E+00   0.000000E+00  -0.313968E+02   0.557662E-07   0.166619E-03  -0.575123E-06
   184   0.520091E+04   0.722421E+00   0.000000E+00  -0.305623E+02   0.554533E-07   0.165194E-03  -0.562796E-06
   185   0.522107E+04   0.713417E+00   0.000000E+00  -0.297019E+02   0.551432E-07   0.163786E-03  -0.550019E-06
   186   0.524074E+04   0.704720E+00   0.000000E+00  -0.288161E+02   0.548357E-07   0.162396E-03  -0.536825E-06
   187   0.525991E+04   0.696357E+00   0.000000E+00  -0.279049E+02   0.545309E-07   0.161022E-03  -0.523246E-06
   188   0.527860E+04   0.688369E+00   0.000000E+00  -0.269686E+02   0.542287E-07   0.159664E-03  -0.509315E-06
   189   0.529677E+04   0.680786E+00   0.000000E+00  -0.260074E+02   0.539291E-07   0.158322E-03  -0.495066E-06
   190   0.531444E+04   0.673639E+00   0.000000E+00  -0.250215E+02   0.536321E-07   0.156995E-03  -0.480530E-06
   191   0.533159E+04   0.666960E+00   0.000000E+00  -0.240114E+02   0.533376E-07   0.155683E-03  -0.465742E-06
   192   0.534821E+04   0.660783E+00   0.000000E+00  -0.229769E+02   0.530457E-07   0.154385E-03  -0.450734E-06
   193   0.536429E+04   0.655140E+00   0.000000E+00  -0.219185E+02   0.527562E-07   0.153100E-03  -0.435539E-06
   194   0.537985E+04   0.650064E+00   0.000000E+00  -0.208366E+02   0.524691E-07   0.151828E-03  -0.420190E-06
   195   0.539487E+04   0.645592E+00   0.000000E+00  -0.197314E+02   0.521845E-07   0.150569E-03  -0.404719E-06
   196   0.540934E+04   0.641756E+00   0.000000E+00  -0.186033E+02   0.519023E-07   0.149322E-03  -0.389161E-06
   197   0.542327E+04   0.638593E+00   0.000000E+00  -0.174527E+02   0.516225E-07   0.148086E-03  -0.373546E-06
   198   0.543667E+04   0.636137E+00   0.000000E+00  -0.162799E+02   0.513450E-07   0.146861E-03  -0.357910E-06
   199   0.544950E+04   0.634423E+00   0.000000E+00  -0.150853E+02   0.510698E-07   0.145647E-03  -0.342283E-06
   200   0.546179E+04   0.633485E+00   0.000000E+00  -0.138693E+02   0.507969E-07   0.144442E-03  -0.326700E-06
   201   0.547352E+04   0.633360E+00   0.000000E+00  -0.126322E+02   0.505262E-07   0.143247E-03  -0.311188E-06
   202   0.548468E+04   0.634082E+00   0.000000E+00  -0.113746E+02   0.502578E-07   0.142061E-03  -0.295751E-06
   203   0.549525E+04   0.635686E+00   0.000000E+00  -0.100965E+02   0.499915E-07   0.140884E-03  -0.280391E-06
   204   0.550524E+04   0.638208E+00   0.000000E+00  -0.879868E+01   0.497275E-07   0.139717E-03  -0.265106E-06
   205   0.551462E+04   0.641683E+00   0.000000E+00  -0.748138E+01   0.494656E-07   0.138558E-03  -0.249896E-06
   206   0.552339E+04   0.646144E+00   0.000000E+00  -0.614500E+01   0.492059E-07   0.137409E-03  -0.234762E-06
   207   0.553154E+04   0.651630E+00   0.000000E+00  -0.478989E+01   0.489484E-07   0.136269E-03  -0.219702E-06
   208   0.553907E+04   0.658174E+00   0.000000E+00  -0.341662E+01   0.486929E-07   0.135137E-03  -0.204718E-06
   209   0.554600E+04   0.665810E+00   0.000000E+00  -0.202572E+01   0.484395E-07   0.134015E-03  -0.189809E-06
   210   0.555232E+04   0.674576E+00   0.000000E+00  -0.617713E+00   0.481882E-07   0.132901E-03  -0.174974E-06
   211   0.555803E+04   0.684506E+00   0.000000E+00   0.806876E+00   0.479390E-07   0.131796E-03  -0.160214E-06
   212   0.556316E+04   0.695634E+00   0.000000E+00   0.224751E+01   0.476918E-07   0.130700E-03  -0.145528E-06
   213   0.556769E+04   0.707997E+00   0.000000E+00   0.370365E+01   0.474467E-07   0.129613E-03  -0.130916E-06
   214   0.557164E+04   0.721629E+00   0.000000E+00   0.517477E+01   0.472035E-07   0.128534E-03  -0.116378E-06
   215   0.557501E+04   0.736560E+00   0.000000E+00   0.666031E+01   0.469623E-07   0.127464E-03  -0.101914E-06
   216   0.557779E+04   0.752833E+00   0.000000E+00   0.815968E+01   0.467231E-07   0.126402E-03  -0.875237E-07
   217   0.557996E+04   0.770476E+00   0.000000E+00   0.967231E+01   0.464858E-07   0.125348E-03  -0.732069E-07
   218   0.558154E+04   0.789517E+00   0.000000E+00   0.111977E+02   0.462504E-07   0.124303E-03  -0.589635E-07
   219   0.558251E+04   0.810000E+00   0.000000E+00   0.127352E+02   0.460170E-07   0.123266E-03  -0.447933E-07
   220   0.558288E+04   0.831953E+00   0.000000E+00   0.142843E+02   0.457854E-07   0.122237E-03  -0.306961E-07
   221   0.558264E+04   0.855404E+00   0.000000E+00   0.158443E+02   0.455557E-07   0.121217E-03  -0.166718E-07
